,time,mp_concentration
164,2020-11-16,14.699330486366698
165,2020-08-17,14.722722562480243
166,2021-06-13,14.662053617574735
167,2020-01-24,14.792262729400967
168,2022-10-08,14.50108573751684
169,2022-09-09,14.480314356772835
170,2021-11-01,14.48769633882893
171,2019-11-19,14.645577180408935
172,2019-08-18,14.630878963030053
173,2020-07-07,14.754793207390474
174,2024-03-14,14.64895472770842
175,2020-09-14,14.567607670680578
176,2020-10-15,14.652797089122457
177,2024-02-06,14.527866063886455
178,2020-06-15,14.665923500877133
179,2021-01-22,14.553932350152468
180,2020-08-06,14.716293143560218
181,2020-11-07,14.620945090325321
182,2019-07-19,14.711140434461411
183,2024-04-25,14.728274338960293
184,2021-07-01,14.664669725962883
185,2022-06-08,14.588897380322058
186,2021-09-12,14.585447970314073
